,Date,Brazil,China
0,08/05,0.0,0.0
1,09/01,0.0,0.0
2,09/03,0.0,5.0
3,09/04,6.0,8.0
4,09/05,10.0,18.0
5,09/06,10.0,7.0
6,09/07,2.0,17.0
7,09/08,5.0,21.0
8,09/09,7.0,15.0
9,09/10,5.0,12.0
10,09/11,20.0,23.0
11,09/12,37.0,27.0
12,10/01,21.0,35.0
13,10/02,4.0,21.0
14,10/03,6.0,17.0
15,10/04,4.0,5.0
16,10/05,6.0,10.0
17,10/06,6.0,16.0
18,10/07,1.0,6.0
19,10/08,3.0,20.0
20,10/09,1.0,20.0
21,10/10,1.0,15.0
22,10/11,1.0,11.0
23,10/12,5.0,16.0
24,11/03,0.0,1.0
25,11/04,0.0,0.0
26,11/05,0.0,0.0
27,11/06,0.0,0.0
28,11/08,0.0,0.0
29,11/09,0.0,0.0
30,11/10,0.0,0.0
31,12/01,0.0,0.0
32,12/02,0.0,0.0
33,12/03,0.0,0.0
34,12/04,0.0,1.0
35,12/07,0.0,0.0
36,12/08,0.0,0.0
37,12/09,0.0,2.0
38,12/10,0.0,1.0
39,12/11,0.0,1.0
40,12/12,0.0,0.0
