,Date,Libya,Afghanistan,Israel
0,08/05,0.0,1.0,0.0
1,09/01,0.0,1.0,1.0
2,09/03,0.0,4.0,0.0
3,09/04,1.0,7.0,1.0
4,09/05,0.0,4.0,9.0
5,09/06,2.0,18.0,10.0
6,09/07,0.0,6.0,8.0
7,09/08,11.0,13.0,2.0
8,09/09,10.0,39.0,13.0
9,09/10,0.0,21.0,16.0
10,09/11,1.0,40.0,12.0
11,09/12,1.0,21.0,8.0
12,10/01,0.0,16.0,3.0
13,10/02,3.0,14.0,28.0
14,10/03,5.0,19.0,25.0
15,10/04,0.0,14.0,17.0
16,10/05,1.0,18.0,29.0
17,10/06,0.0,18.0,31.0
18,10/07,2.0,20.0,18.0
19,10/08,0.0,9.0,27.0
20,10/09,1.0,17.0,59.0
21,10/10,2.0,13.0,31.0
22,10/11,2.0,15.0,30.0
23,10/12,2.0,26.0,24.0
24,11/03,12.0,1.0,5.0
25,11/04,12.0,0.0,2.0
26,11/05,4.0,0.0,0.0
27,11/06,4.0,0.0,0.0
28,11/08,3.0,0.0,0.0
29,11/09,3.0,0.0,0.0
30,11/10,1.0,0.0,0.0
31,12/01,13.0,0.0,0.0
32,12/02,4.0,0.0,0.0
33,12/03,2.0,0.0,0.0
34,12/04,5.0,0.0,3.0
35,12/07,5.0,0.0,0.0
36,12/08,6.0,0.0,3.0
37,12/09,75.0,13.0,20.0
38,12/10,37.0,6.0,4.0
39,12/11,14.0,2.0,0.0
40,12/12,7.0,0.0,0.0
